tipid,a,b,line
1,Profile your victim and use their user agent to mask your traffic. Alternatively use UA from software such as Outlook.,,Profile your victim and use their user agent to mask your traffic. Alternatively use UA from software such as Outlook.
2,If the enemy SOC is using proxy logs for analysis. Guess what? It wont log cookies or POST body content as can be sensitive.,,If the enemy SOC is using proxy logs for analysis. Guess what? It wont log cookies or POST body content as can be sensitive.
3,"Taking a snapshot of AD can let you browse, explore and formulate future attacks if access is lost momentarily.",,"Taking a snapshot of AD can let you browse, explore and formulate future attacks if access is lost momentarily."
4,consider using Office Template macros and replacing normal.dot for persistence in VDI environments.,,consider using Office Template macros and replacing normal.dot for persistence in VDI environments.
5,"Do a DNS lookup for terms such as intranet, sharepoint, wiki, nessus, cyberark and many others to start intel on your target.",,"Do a DNS lookup for terms such as intranet, sharepoint, wiki, nessus, cyberark and many others to start intel on your target."
6,Got access but need to find target? Use WMIC to query and dump the DNS Zone for a better view of assets - https://serverfault.com/questions/550385/export-all-hosts-from-dns-manager-using-powershell,,Got access but need to find target? Use WMIC to query and dump the DNS Zone for a better view of assets - https://serverfault.com/questions/550385/export-all-hosts-from-dns-manager-using-powershell
7,"Whether PSEXEC, WMI, PS remoting or even the recent COM execution technique for lateral movement. Dont forget beloved RDP.",,"Whether PSEXEC, WMI, PS remoting or even the recent COM execution technique for lateral movement. Dont forget beloved RDP."
8,Make sure theres trackers in your,"emails, delivery server and payload execution. Any more? Comment to share!","Make sure theres trackers in your emails, delivery server and payload execution. Any more? Comment to share!"
9,"When PowerUp yields no results, dont forget SysInternalss AutoRuns. Often you can find unexpected surprises :)",,"When PowerUp yields no results, dont forget SysInternalss AutoRuns. Often you can find unexpected surprises :)"
10,"When using BloodHound, dont forget DA equivalents such as administrators and server operators etc too. These arent mapped.",,"When using BloodHound, dont forget DA equivalents such as administrators and server operators etc too. These arent mapped."
11,"When navigating mature environments, a good old network diagram along with AD OUs can help to shed some light into next steps.",,"When navigating mature environments, a good old network diagram along with AD OUs can help to shed some light into next steps."
12,"Kerberoast them hashes, could be a fast route to domain administrator. PowerView",Invoke-Kerberoast -Format Hashcat,"Kerberoast them hashes, could be a fast route to domain administrator. PowerView Invoke-Kerberoast -Format Hashcat"
13,Shared local administrator account hashes are great for lateral movement. Find machines based on the same build and attack away,,Shared local administrator account hashes are great for lateral movement. Find machines based on the same build and attack away
14,Got extra credentials? Use different sets for separate egress channels so that if one account is disabled all the rest are ok.,,Got extra credentials? Use different sets for separate egress channels so that if one account is disabled all the rest are ok.
15,"You dont need payloads when you can phish credentials and login to Citrix, VPN, email with no 2FA. Check the perimeter.",,"You dont need payloads when you can phish credentials and login to Citrix, VPN, email with no 2FA. Check the perimeter."
16,"@dafthack MailSniper, @domchell LyncSniper can be a useful but noisy way to obtain AD credentials into an organisation.",,"@dafthack MailSniper, @domchell LyncSniper can be a useful but noisy way to obtain AD credentials into an organisation."
17,@_staaldraad Ruler tool can be used to obtain code execution on a system running Outlook if you can access exchange externally,,@_staaldraad Ruler tool can be used to obtain code execution on a system running Outlook if you can access exchange externally
18,"When tools like MailSniper dont work in custom environments, you still have good old @Burp_Suite to replicate the attacks",,"When tools like MailSniper dont work in custom environments, you still have good old @Burp_Suite to replicate the attacks"
19,"Need a DC? echo %LOGONSERVER%. Need a list? nltest /dclist, nslookup -q=srv _kerberos._tcp (domain suffix can autocomplete)",,"Need a DC? echo %LOGONSERVER%. Need a list? nltest /dclist, nslookup -q=srv _kerberos._tcp (domain suffix can autocomplete)"
